epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,2784.05,0.42538,0.65635,0.55488,0.88297,0,0.93516,1,0.9921,0.96062,0.93516,1,0.9921,0.93729,0.31117,0.4169,0.45543,0.81621,0,0.0003368,0.0003368,0.0003368
86,2808.03,0.43078,0.70913,0.54442,0.8909,0,0.99271,0.96667,0.99358,0.95739,0.99271,0.96667,0.99358,0.93488,0.30261,0.41323,0.44465,0.81452,0,0.000317,0.000317,0.000317
87,2861.01,0.4394,0.6021,0.5492,0.89707,0,1,0.97966,0.99468,0.95043,1,0.97966,0.99468,0.92721,0.29388,0.4166,0.4385,0.81324,0,0.0002972,0.0002972,0.0002972
88,2918.36,0.42595,0.66248,0.53603,0.89066,0,0.98342,0.98849,0.99484,0.9457,0.98342,0.98849,0.99484,0.92489,0.29738,0.41974,0.4382,0.81545,0,0.0002774,0.0002774,0.0002774
89,2974.7,0.42273,0.67377,0.52674,0.88516,0,0.9836,0.99963,0.99451,0.94784,0.9836,0.99963,0.99451,0.92332,0.30403,0.42228,0.44153,0.81898,0,0.0002576,0.0002576,0.0002576
90,3022.4,0.41496,0.5907,0.52127,0.89321,0,0.97676,1,0.99451,0.94102,0.97676,1,0.99451,0.92407,0.31379,0.42162,0.44163,0.82296,0,0.0002378,0.0002378,0.0002378
91,3080.2,0.36037,0.48775,0.64279,0.86548,0,0.97317,1,0.99451,0.9434,0.97317,1,0.99451,0.93402,0.323,0.4202,0.44166,0.8246,0,0.000218,0.000218,0.000218
92,3138.89,0.33911,0.46845,0.61118,0.83539,0,1,0.97999,0.99484,0.94302,1,0.97999,0.99484,0.9308,0.3316,0.41947,0.44557,0.82863,0,0.0001982,0.0001982,0.0001982
93,3199.02,0.32442,0.45234,0.53672,0.81643,0,0.98353,0.99532,0.99451,0.94776,0.98353,0.99532,0.99451,0.93606,0.32797,0.41711,0.47037,0.82873,0,0.0001784,0.0001784,0.0001784
94,3258.08,0.35111,0.46977,0.53969,0.81331,0,0.9806,0.98333,0.99386,0.94223,0.9806,0.98333,0.99386,0.92891,0.32247,0.41569,0.52482,0.83197,0,0.0001586,0.0001586,0.0001586
95,3318.08,0.32033,0.47334,0.49784,0.82805,0,0.98272,0.94766,0.9888,0.94322,0.98272,0.94766,0.9888,0.92453,0.31457,0.41372,0.57638,0.83212,0,0.0001388,0.0001388,0.0001388
96,3377.47,0.30068,0.45013,0.46724,0.83065,0,0.98178,0.95,0.98591,0.94595,0.98178,0.95,0.98591,0.92117,0.3048,0.40777,0.6021,0.82887,0,0.000119,0.000119,0.000119
97,3437.32,0.30454,0.42937,0.49723,0.82004,0,0.98267,0.94529,0.98535,0.94269,0.98267,0.94529,0.98535,0.92191,0.28986,0.39815,0.59571,0.82229,0,9.92e-05,9.92e-05,9.92e-05
98,3497.36,0.32066,0.47579,0.50234,0.83655,0,1,0.94715,0.98886,0.94966,1,0.94715,0.98886,0.93255,0.27931,0.38978,0.56971,0.81716,0,7.94e-05,7.94e-05,7.94e-05
99,3556.68,0.30591,0.41516,0.46769,0.82066,0,1,0.98037,0.99241,0.95141,1,0.98037,0.99241,0.93686,0.27193,0.383,0.53565,0.81318,0,5.96e-05,5.96e-05,5.96e-05
100,3615.96,0.31948,0.4528,0.5166,0.83791,0,0.99534,0.98333,0.99409,0.95462,0.99534,0.98333,0.99409,0.93969,0.26625,0.37827,0.50902,0.81064,0,3.98e-05,3.98e-05,3.98e-05
