sample_id,episode,variation_id,score,D_min,label,completed,collided,progress_ratio,qp_failures,mean_abs_cte,min_obstacle_clearance,min_barrier_clearance,class_k_p,class_k_q
64,0,64,27.424889337173436,5.576089224677838e-05,-1,False,False,0.453937714006196,0,0.7251251072100473,0.05033172604849599,5.576089224677838e-05,0.2703959203912921,1.0988792912107737
65,0,65,27.38418806082072,-0.011952708170863427,-1,False,False,0.4448067829773357,0,0.6220475558377139,-0.011952708170863427,0.10396242838470858,0.24569928259697568,1.0613351660474526
66,0,66,168.33547512496528,-0.07794060542911359,1,True,False,1.0,0,0.13567692643046214,-0.07794060542911359,-0.02271353062202515,11.566567124456098,1.5613319787444662
67,0,67,50.213594424755854,-0.00025836129935054297,-1,False,False,0.7744986140551117,0,0.6668832023372377,-0.00025836129935054297,0.08000493991836292,0.549565104857043,0.8973541635793276
68,0,68,167.4573034591488,-0.10938482193539735,1,True,False,1.0,0,0.14459850717897071,-0.10938482193539735,-0.1054979986870654,11.795729751609926,1.2778520612236492
69,0,69,166.81612258731917,-0.12377232284452151,1,True,False,1.0,0,0.17318918439247286,-0.06559093724644512,-0.12377232284452151,13.596541350215414,1.4341498720337964
70,0,70,166.55984783855067,0.056013137665227794,1,True,False,1.0,0,0.5733586935748909,0.08877898690317364,0.056013137665227794,1.361774062213386,2.2723891521752018
71,0,71,168.91303571002166,0.06147686470202311,1,True,False,1.0,0,0.18116071499638897,0.06147686470202311,0.19686232507609858,4.13361178089314,1.5774363004762098
72,0,72,23.327491982079884,-0.13490354168799668,-1,False,False,0.45067666721017446,0,0.9453365907062035,0.10929286798627373,-0.13490354168799668,0.8480632736135931,2.232013290720217
73,0,73,168.16934438922627,0.20217692510796736,1,True,False,1.0,0,0.30510926846228714,0.20217692510796736,0.4754434267846422,0.7866464527702619,2.3300710675706284
74,0,74,27.427083447340728,0.3290608505959335,-1,False,False,0.43355617153106146,0,0.48697475997226236,0.3290608505959335,0.42138077850186983,0.14110125519130448,1.2459930961825587
